Year,Name,Position,College,Conference,Conference Rank,Round,Pick,AV,Games,Seasons,Height,Weight,40 Yard,Bench,Broad Jump,Shuttle,3 Cone,Vertical,Pass Att,Pass Completions,Pass Yds,Pass TD,Pass Int,Passer Rating,Rush Att,Rush Yds,Rush TD,Rec,Rec Yds,Rec TD,Solo Tackles,Ast Tackles,Total Tackles,Tackles for Loss,Sacks,Int,Int Return Yards,Int TD,Pass Deflection,Fumble Recovery,Fumble Return Yards,Fumble TD,Forced Fumbles,PRs,PR Yds,PR TD,KRs,KR Yds,KR TD,XPA,XP%,FGA,FG%,Punts,Punt Avg
2010,Anthony McCoy,TE,Southern California,Pac-10,9,6,185,0.6666666667,36,3,76,259,4.71,19,113,4.57,6.99,35.5,0,0,0,0,0,0,1,25,0,46,731,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Cameron Morrah,TE,California,Pac-10,9,7,248,0.6666666667,34,3,75,244,4.61,24,115,4.36,6.99,32.5,0,0,0,0,0,0,0,0,0,41,484,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Kyle Murphy,OT,Stanford,Pac-12,5,6,200,0.6666666667,46,4,78,305,5.19,23,114,4.47,7.6,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,Chris Owusu,WR,Stanford,Pac-12,5,0,0,0.6666666667,35,4,72,196,4.36,19,129,4.11,6.85,40.5,0,0,0,0,0,0,16,176,0,102,1534,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,2132,3,0,0,0,0,0,0
2009,Curtis Painter,QB,Purdue,Big Ten,2,6,201,0.6666666667,46,4,75,225,4.87,20,102,4.48,7,29,1648,987,11163,67,46,124.6,225,348,13,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,DeVier Posey,WR,Ohio State,Big Ten,2,3,68,0.6666666667,42,4,74,211,4.39,14,123,4.15,7.03,36.5,0,0,0,0,0,0,3,13,0,136,1955,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,0,4,9,0,0,0,0,0,0,0
2018,Trey Quinn,WR,Small,American,6,7,256,0.6666666667,27,3,71,203,4.55,17,116,4.19,6.91,33.5,0,0,0,0,0,0,1,0,0,114,1236,13,0,0,0,0,0,0,0,0,0,0,0,0,0,5,113,0,5,13,0,0,0,0,0,0,0
2011,Greg Salas,WR,Small,WAC,13,4,112,0.6666666667,48,4,73,210,4.53,15,120,4.1,6.65,37,0,0,0,0,0,0,0,0,0,285,4345,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,55,0,0,0,0,0,0,0
2011,Dane Sanzenbacher,WR,Ohio State,Big Ten,2,0,0,0.6666666667,50,4,71,182,4.56,8,118,3.97,6.46,33.5,0,0,0,0,0,0,6,22,1,124,1879,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0,0,0,0
2018,Greg Stroman,CB,Virginia Tech,ACC,4,7,241,0.6666666667,48,4,72,180,4.48,16,113,4.45,7.2,33.5,0,0,0,0,0,0,0,0,0,0,0,0,39,22,61,0.5,0,9,45,1,26,0,12,1,0,23,478,0,127,1108,4,0,0,0,0,0,0
